image_id,id,caption,image
49,595290,Two costumed horse riders make their horses stand on their hind legs.,000000000049.jpg
49,584589,two horses and their riders on some grass,000000000049.jpg
61,446671,SOME PEOPLE IN THE WOODS RIDING TWO ELEPHANTS,000000000061.jpg
61,455584,Several elephants in the jungle carrying people on their backs,000000000061.jpg
61,452062,Some people who are riding on top of elephants.,000000000061.jpg
61,444409,They are brave for riding in the jungle on those elephants.,000000000061.jpg
61,452272,there are people riding elephants in the middle of a forest,000000000061.jpg
64,467168,a black and silver clock tower at an intersection near a tree,000000000064.jpg
64,480152,A very pretty clock on the side of a road.,000000000064.jpg
64,475460,A clock is seen in front of a tall tree.,000000000064.jpg
64,473093,A pole with a clock that reads 6:10 by a white car. ,000000000064.jpg
64,470150,A clock sits on top of a black pole near a tree on a sidewalk near a crosswalk.,000000000064.jpg
71,536169,A passenger train glides around a curve on the outer track.,000000000071.jpg
71,533859,A train coming to a stop on the tracks out side.,000000000071.jpg
71,534900,The very long train is travelling down the tracks.,000000000071.jpg
71,537195,A train coming down the tracks in the city.,000000000071.jpg
71,537888,A train engine carrying many carts down a track.,000000000071.jpg
72,821144,The two giraffes appear to be hugging each other.,000000000072.jpg
72,457653,Two Zebras seem to be embracing in the wild. ,000000000072.jpg
72,454860,A couple of giraffe standing next to some trees.,000000000072.jpg
72,454068,A couple of giraffe snuggling each other in a forest.,000000000072.jpg
72,460104,Two giraffes hang out near trees and nuzzle up to each other.,000000000072.jpg
73,748185,The back tire of an old style motorcycle is resting in a metal stand. ,000000000073.jpg
73,746914,"A close up view of a motorized bicycle, sitting in a rack. ",000000000073.jpg
73,746170,Motorcycle parked in the parking lot of asphalt.,000000000073.jpg
73,746071,An old motorcycle parked beside other motorcycles with a brown leather seat.,000000000073.jpg
73,593422,A motorcycle parked in a parking space next to another motorcycle.,000000000073.jpg
74,145996,A picture of a dog laying on the ground.,000000000074.jpg
74,149398,The white dog lays next to the bicycle on the sidewalk.,000000000074.jpg
74,146710,Dog snoozing by a bike on the edge of a cobblestone street,000000000074.jpg
74,149638,a white dog is sleeping on a street and a bicycle,000000000074.jpg
74,150181,A puppy rests on the street next to a bicycle.,000000000074.jpg
77,569752,a group of teenagers jumping a ramp on their skateboards,000000000077.jpg
77,582316,some male skateboarders are doing some tricks and grafitti,000000000077.jpg
77,567271,A young man riding a skateboard into the air.,000000000077.jpg
77,579604,Group of boys performing skateboard trick on ramp with graffiti on it,000000000077.jpg
77,573184,A time lapse image of a guy on a skate board.,000000000077.jpg
78,758024,White clock sitting next to a statue of an owl. ,000000000078.jpg
78,762369,An owl candle and a clock sitting in front of a wall.,000000000078.jpg
78,761571,An antique looking clock beside an owl with a candle in it.,000000000078.jpg
78,759054,a close up of a clock near an owl candle holder ,000000000078.jpg
78,755795,A lighted owl candle sits next to a clock.,000000000078.jpg
81,812647,"Large, two decked, four engined airliner in flight.",000000000081.jpg
81,815936,An Air France air plane in mid flight.,000000000081.jpg
81,812671,An AirFrance jet airplane flying in the sky ,000000000081.jpg
81,815397,A big plane with AirFrance on the side of it.,000000000081.jpg
81,805105,A big airplane flying in the big blue sky,000000000081.jpg
86,58675,A young person is on a very ornate old bicycle.,000000000086.jpg
86,51673,A man sitting on a motorcycle in the woods.,000000000086.jpg
86,66658,A man on a an old fashioned bicycle in the woods ,000000000086.jpg
86,61768,A person looks down at something while sitting on a bike. ,000000000086.jpg
86,50422,A man riding a motor bike across a forest.,000000000086.jpg
89,53809,A small light is on above the polished stove top.,000000000089.jpg
89,41275,A stove with a lighted hood in the kitchen.,000000000089.jpg
89,55021,Smooth top stove with exhaust fan that has light turned on.,000000000089.jpg
89,40576,An oven with a stove on top of it in a kitchen.,000000000089.jpg
89,56911,A stove top is cleaned with a set of knives on the wall.,000000000089.jpg
92,504515,A piece of chocolate cake on top of a white plate.,000000000092.jpg
92,510467,a chocolate cake and a fork ready to be eat,000000000092.jpg
92,512321,A chocolate desert on a plate with a fork. ,000000000092.jpg
92,504416,A white plate with a brownie and white frosting.,000000000092.jpg
92,550205,A piece of chocolate dessert on a plate with a napkin and a fork.,000000000092.jpg
94,352580,This is a view of a quaint city street.,000000000094.jpg
94,348617,There is a street lined with packed buildings,000000000094.jpg
94,352496,A street sign and a car on the road.,000000000094.jpg
94,351050,There is a car driving down a street with buildings on each side.,000000000094.jpg
94,355106,"A city street with a sign that reads ""Peace Way Hotel"".",000000000094.jpg
109,199218,A skate park next to a body of water and green park.,000000000109.jpg
109,219372,some grass and a person in a blue shirt walking a dog and water,000000000109.jpg
109,208458,Sky view of a walkway along the shore of a river.,000000000109.jpg
109,214800,A waterfront walkway and garden area next to a river.,000000000109.jpg
109,210216,A wide walkway allows for walks along the river.,000000000109.jpg
110,582764,A woman and child sitting at a table with a pizza in front of them.,000000000110.jpg
110,578237,Woman cutting pizza with fork and knife sitting next to young girl,000000000110.jpg
110,586163,A lady and a child are sitting.The lady is cutting pizza pieces.,000000000110.jpg
110,587789,A woman cutting a pizza with a fork and knife.,000000000110.jpg
110,588935,A woman cutting a pizza with a fork and knife ,000000000110.jpg
113,781192,two people standing near a table with a cake ,000000000113.jpg
113,780745,A women who is cutting into a cake.,000000000113.jpg
113,780412,A man and woman standing in front of a cake.,000000000113.jpg
113,775939,a man and woman cut into a big cake ,000000000113.jpg
113,785659,A woman cutting into a cake with a man standing behind her,000000000113.jpg
127,294738,A piece of cake and coffee are on an outdoor table.,000000000127.jpg
127,296094,Slice of cake next to large filled cup on wooden table.,000000000127.jpg
127,299049,A slice of cake and mug sitting on a wooden table outside.,000000000127.jpg
127,297819,A dessert and a cup of coffee sit next to a book and a purse.,000000000127.jpg
127,301668,a close up of a slice of cake on a plate,000000000127.jpg
133,423389,A bed sits on top of a dresser and a desk.,000000000133.jpg
133,421754,Wooden bed on top of a white dresser.,000000000133.jpg
133,424250,Bunk bed with a narrow shelf sitting underneath it. ,000000000133.jpg
133,420587,A loft bed with a dresser underneath it.,000000000133.jpg
133,421694,A bed and desk in a small room.,000000000133.jpg
136,268395,a giraffe in a enclosed area is watched by some people,000000000136.jpg
136,263400,Two giraffe standing next to each other in a room.,000000000136.jpg
136,261999,Two giraffes in a room with people looking at them.,000000000136.jpg
136,266838,A man and woman staring at two giraffes through a window.,000000000136.jpg
136,266406,The giraffe is being kept by itself indoors. ,000000000136.jpg
138,338509,Picture of a kitchen this has smaller photos of item within that kitchen. ,000000000138.jpg
138,337561,The kitchen has odd looking colors in it.,000000000138.jpg
138,339262,A series of photographs of a tiny model kitchen,000000000138.jpg
138,338956,Three dimensional rendering of a kitchen area with various appliances. ,000000000138.jpg
138,341731,Collage of pictures from a clean rustic kitchen. ,000000000138.jpg
142,113167,bread with banana milk and nutella on a table,000000000142.jpg
142,101314,A sliced banana topped dessert sits on a plate.,000000000142.jpg
142,101335,There is a plate of banana and chocolate on bread,000000000142.jpg
142,104971,a close up of a plate of a jelly and banana sandwich,000000000142.jpg
142,99271,"Plate with a piece of bread, dark chocolate spread, bananas and a carton of Silk.",000000000142.jpg
143,496462,Several birds are sitting on small tree branches.,000000000143.jpg
143,483949,Birds perch on a bunch of twigs in the winter.,000000000143.jpg
143,487240,A number of small birds sitting at the top of a bare tree.,000000000143.jpg
143,492805,Eight birds perch on a branch on an overcast day.,000000000143.jpg
143,491767,Many birds perched on the limbs of a tree.,000000000143.jpg
144,780155,a number of giraffes near one another ,000000000144.jpg
144,775478,Three giraffes standing in the dirt in a fenced in area.,000000000144.jpg
144,776918,Two giraffes eating together out of a trough in a fenced area.,000000000144.jpg
144,775925,a couple of giraffes eat some food out of a trey ,000000000144.jpg
144,773663,Three giraffes stuck behind the confines of a zoo fence. ,000000000144.jpg
149,481005,People gathered outside in a big field on a cloudy day,000000000149.jpg
149,484056,A host of kites being flown on a field by people.,000000000149.jpg
149,483387,People flying kites in a field on a cloudy day.,000000000149.jpg
149,484926,a bunch of people are at a grass field ,000000000149.jpg
149,481854,People are flying kites on a high school field.,000000000149.jpg
151,426076,A stop sign sits in the middle of the forest. ,000000000151.jpg
151,438220,A stop sign is shown close to the ground.,000000000151.jpg
151,433180,A man leans out of a vehicle near a short stop sign in a forest.,000000000151.jpg
151,426460,A stop sign sitting near some tall trees.,000000000151.jpg
151,426043,A stop sign directs pedestrians as a train travels by.,000000000151.jpg
154,215654,Three zebra are walking through the grass of a field.,000000000154.jpg
154,231686,Three zebras grazing in green grass field area.,000000000154.jpg
154,211904,Three zebras are standing in an open field.,000000000154.jpg
154,216620,Three zebras standing on a grassy dirt field.,000000000154.jpg
154,202466,three zeebras standing in a grassy field walking,000000000154.jpg
164,213867,A kitchen with a slanted ceiling and skylight.,000000000164.jpg
164,145464,A small kichen area with a sunlight and and angled ceiling.,000000000164.jpg
164,205026,a small kitchen with a lot of filled up shelves ,000000000164.jpg
164,117663,A small kitchen with low a ceiling ,000000000164.jpg
164,173583,an image of a kitchen loft style setting,000000000164.jpg
165,744719,A man in a suit and a woman in military clothes.,000000000165.jpg
165,744266,A woman soldier holding up a pair of giant scissors to someone's tie.,000000000165.jpg
165,743726,A funny picture of a woman holding a large pair of scissors attempting to cut a mans tie.,000000000165.jpg
165,588923,a female in military uniform cutting a businessman's neck tie,000000000165.jpg
165,591785,A woman in a soldier's uniform pretends to cut the tie of a man using an enormous pair of scissors.,000000000165.jpg
192,716838,A baseball player for the Chicago Cubs stands at home plate.,000000000192.jpg
192,715695,a baseball player on the home plate during a game,000000000192.jpg
192,713673,A man that is standing in the dirt near a plate.,000000000192.jpg
192,709797,A group of baseball players is crowded at the mound.,000000000192.jpg
192,713280,A baseball player at the area where one goes to bat ,000000000192.jpg
194,799817,Small pizza sitting on a white plate with different toppings on it. ,000000000194.jpg
194,806150,"An exotic pizza sits on a plate, with cheese and bits of meat on top.",000000000194.jpg
194,796856,a small pizza that is on a white plate,000000000194.jpg
194,806042,A small personal sized pizza is shown on display.,000000000194.jpg
194,803441,The pizza is loaded with lots of toppings.,000000000194.jpg
196,369605,A variety of food in dishes is displayed on a table.,000000000196.jpg
196,371270,"A table layed out with food such as, salad, steamed peas and carrots, steamed corn, and bread rolls.",000000000196.jpg
196,370646,"Table of food including carrots, peas, salad, corn, gravy, pies, bread",000000000196.jpg
196,377801,"A table full of food such as peas and carrots, bread, salad and gravy. ",000000000196.jpg
196,367436,This table is filled with a variety of different dishes.,000000000196.jpg
201,602606,Snowboards sticking in the snow by a rack ,000000000201.jpg
201,597266,Six snowboards are propped in the snow on a rail.,000000000201.jpg
201,600230,There are skateboards leaning on a metal bar.,000000000201.jpg
201,600743,A row of snow boards sticking out of the snow.,000000000201.jpg
201,598169,Five skateboards on a rack in a snow covered mountain ,000000000201.jpg
241,512839,people sitting around watching a man playing a video game,000000000241.jpg
241,397495,A man standing on a piece of equipment for a video game while holding the remote as four other people look on,000000000241.jpg
241,513700,The group of friends is enjoyingplaying the video games.,000000000241.jpg
241,396841,Young adult using video game controller with other looking on.,000000000241.jpg
241,394357,a man standing holding a game controller and two people sitting,000000000241.jpg
247,784260,a plane sits on a runway waiting for lift off,000000000247.jpg
247,788757,"A red, white and blue helicopter has a tag on one blade.",000000000247.jpg
247,788643,A small plane with a certificate on the propellers.,000000000247.jpg
247,792135,A small engine plane sitting on an air field being displayed.,000000000247.jpg
247,783936,a small airplane that is on a runway,000000000247.jpg
257,488960,There is a small bus with several people standing next to it.,000000000257.jpg
257,491417,people standing besides a bus taking to each other,000000000257.jpg
257,498524,Several people walking on a sidewalk near a large arch with figures on it.,000000000257.jpg
257,495413,People eating from food trucks near a commemorative archway,000000000257.jpg
257,499340,A very big pretty arch way with a bunch of people near it.,000000000257.jpg
260,654925,the woman is standing with her luggage ,000000000260.jpg
260,649819,A woman is waiting with a cart full of luggage.,000000000260.jpg
260,647914,A female traveler leaning on a luggage cart.,000000000260.jpg
260,652468,A woman next to a cart of luggage at a bus stop.,000000000260.jpg
260,657445,A woman wearing a yellow shirt standing next to luggage.,000000000260.jpg
263,421916,A couple of elephants playing with each other in their pen.,000000000263.jpg
263,404390,One adult and one small elephant in a dry lot.,000000000263.jpg
263,420242,Adult elephant pushing a baby elephant with its leg.,000000000263.jpg
263,403439,A couple of elephants standing next to each other.,000000000263.jpg
263,426191,A baby elephant tries to get on top of another elephant. ,000000000263.jpg
283,339299,A bottle and glass on red wine on a patio table,000000000283.jpg
283,339005,A glass table with a bottle and glass of wine next to a chair.,000000000283.jpg
283,342200,A glass of champagne next to the champagne bottle.,000000000283.jpg
283,346001,A glass of wine is shown wit a wine bottle right next to it on a table. ,000000000283.jpg
283,338063,A bottle on wine next to a glass of wine.,000000000283.jpg
294,560728,A man pointing to pots hanging from a pegboard on a gray wall.,000000000294.jpg
294,556993,a man poses in front of some pots and pans ,000000000294.jpg
294,549895,A man standing in front of a microwave next to pots and pans.,000000000294.jpg
294,556411,A man displaying pots and utensils on a wall.,000000000294.jpg
294,556507,A man stands in a kitchen and motions towards pots and pans. ,000000000294.jpg
307,580682,A collie chasing a frisbee in the grass.,000000000307.jpg
307,586181,A cute dog is in the grass with a frisbee.,000000000307.jpg
307,579020,The dog is playing with his toy in the grass,000000000307.jpg
307,587342,A brown and white dog chasing a blue and yellow frisbee.,000000000307.jpg
307,580385,A dog that is standing in the grass near a frisbee.,000000000307.jpg
308,822591,People gather around a table while sampling wine.,000000000308.jpg
308,451843,the people are sampling wine at a wine tasting.,000000000308.jpg
308,452557,Group of people tasting wine next to some barrels.,000000000308.jpg
308,454051,People are gathered around a man tasting wine.,000000000308.jpg
308,455974,A man pouring wine from casks for patrons,000000000308.jpg
309,435436,A stuffed bear that is laying down in the grass.,000000000309.jpg
309,438520,A dog stands in the grass next to a stuffed bear.,000000000309.jpg
309,436207,A teddy bear is laying on the green grass next to a dog. ,000000000309.jpg
309,439342,A small brown stuffed bear laying in the grass.,000000000309.jpg
309,443728,A teddy bear lays on the lawn and a dog stands behind it.,000000000309.jpg
312,298246,A herd of elephants one running with a baby.,000000000312.jpg
312,297472,A baby elephant walks through the forest with five adult elephants.,000000000312.jpg
312,296128,A large group of elephants crossing a dirt path.,000000000312.jpg
312,303319,Four large elephants are watching over their baby in the wilderness.,000000000312.jpg
312,299710,"A herd of elephants, including a tiny baby elephant, cross a dirt road.",000000000312.jpg
315,34290,people in bikinis at a beach under umbrellas,000000000315.jpg
315,34284,Groups of people sit on a beach in the sand.,000000000315.jpg
315,43596,People sunbathing and sitting under umbrellas at a city beach.,000000000315.jpg
315,29481,Beautiful women wearing bikinis frolicking on a sandy beach.,000000000315.jpg
315,38964,Women are walking towards seats on the beach.,000000000315.jpg
321,264983,"Two styrofoam carryout containers, one with a steak sub with jalapeno peppers, and the other with two hot dogs.",000000000321.jpg
321,264443,"The takeout containers hold two hot dogs with condiments, and a steak sandwich.",000000000321.jpg
321,268049,two plastic containers holding onto a sandwich and hot dogs ,000000000321.jpg
321,265649,A sub sandwich in a box next to two hot dogs.,000000000321.jpg
321,264026,a close up of a plastic container with hot dogs,000000000321.jpg
322,743798,Man playing with flying red disk outdoors in evening.,000000000322.jpg
322,594116,A person is throwing a Frisbee at night. ,000000000322.jpg
322,589520,a man standing in a yard with a red frisbee,000000000322.jpg
322,593579,A full view of a man throwing a Frisbee.,000000000322.jpg
322,581732,A man tossing an orange frisbee on top of a lush green field.,000000000322.jpg
328,269073,a few guys sit next to each other on a bench ,000000000328.jpg
328,262887,"Three men in military suits are sitting on a bench,",000000000328.jpg
328,265338,Three persons with military attire seated on a bench,000000000328.jpg
328,265653,Three young men in decorated uniforms sit on a bench together.,000000000328.jpg
328,270669,Three young men sitting on a bench wearing dress formals.,000000000328.jpg
332,363859,"A bowl of pasta, carrots, egg roll and cabbage.",000000000332.jpg
332,363358,"Asian noodles, cut up egg roll with greens and carrots in a white bowl.",000000000332.jpg
332,359971,Healthy foods being used to create a dinner dish.,000000000332.jpg
332,356626,Food in a bowl with carrots and drinks around it,000000000332.jpg
332,357082,"A plate of food: meat, noodles, sprouts, carrots and salad",000000000332.jpg
338,604768,Two people standing close to each other while standing in a kitchen.,000000000338.jpg
338,604723,An elderly man and woman looking around in a kitchen.,000000000338.jpg
338,597214,Two people standing in a kitchen looking around. ,000000000338.jpg
338,604699,Two people looking at a large kitchen ,000000000338.jpg
338,597862,A couple of men are standing in a kitchen,000000000338.jpg
360,640134,"An outside photo of signs, and lamp poles among the trees.",000000000360.jpg
360,640068,A person flying through the air on top of a snowboard.,000000000360.jpg
360,638556,A person is hanging in the air near a building.,000000000360.jpg
360,637797,The snowboarder has jumped high into the air from a snow ramp.,000000000360.jpg
360,643656,A snowboarder hitting a trick off a giant ramp.,000000000360.jpg
382,723720,A high mountain of snow with a cross country skier.,000000000382.jpg
382,714864,landscape of a snowy mountain with a skiers trail in the snow,000000000382.jpg
382,721884,A man riding skis down a snow covered slope.,000000000382.jpg
382,731427,A mountain slope photo with a person on skis in the foreground.,000000000382.jpg
382,724275,"A distance shot shows rolling snowy hills, partially shadowed, with ski prints reaching off into the distance, and to the foreground, a single skier. ",000000000382.jpg
384,186989,"A living room with a couch, coffee table and two large windows with white curtains.",000000000384.jpg
384,192104,This is a living room with white curtains.,000000000384.jpg
384,196502,"A living room with a couch, coffee table and two windows.",000000000384.jpg
384,189794,a living room with white curtains and a black couch and table,000000000384.jpg
384,172154,A living room filled with furniture and windows covered in curtain.,000000000384.jpg
389,762475,The man smiles wearing a green neck tie near a crowd of people. ,000000000389.jpg
389,764281,A man with a long grey beard in a white shirt and green tie at a pub full of green-shirted patrons.,000000000389.jpg
389,756645,A woman standing in a large group of people near stairs.,000000000389.jpg
389,756141,This man is very happy to be at the gathering.,000000000389.jpg
389,755697,A man with a bushy beard and green tie.,000000000389.jpg
394,233336,A white dog has a purple Frisbee in it's mouth.,000000000394.jpg
394,215372,A white dog holding a purple frisbee in it's mouth.,000000000394.jpg
394,228908,A white dog is holding a frisbee in its mouth waiting to play.,000000000394.jpg
394,234860,a dog is holding a frisbee standing on grass,000000000394.jpg
394,231008,White dog carrying a purple frisbee on a lawn.,000000000394.jpg
436,345495,A person licks his thumb while holding a piece of food.,000000000436.jpg
436,353817,A man is eating a roll and licking his thumb.,000000000436.jpg
436,356154,Man wearing glasses eating a slice of food.,000000000436.jpg
436,354294,A man licking his thumb with a peanut buttered bread slice in his hand.,000000000436.jpg
436,346638,there is a person sitting and licking their fingers,000000000436.jpg
438,66743,Various pastries are displayed in a take out box.,000000000438.jpg
438,66686,A box full of donuts in different shapes and flavors.,000000000438.jpg
438,66641,"A box of chocolate, filled, sour cream donuts.",000000000438.jpg
438,63941,A big box of various types of doughnuts.,000000000438.jpg
438,61766,A variety of donuts and pastries in a box.,000000000438.jpg
446,822995,A woman standing in a room holding a remote control.,000000000446.jpg
446,268465,a standing woman with a remote control in hand ,000000000446.jpg
446,273082,A woman stands with a Wii remote in her hand.,000000000446.jpg
446,276829,A woman playing a video game indoors. ,000000000446.jpg
446,272053,A woman holding a remote control in her right hand.,000000000446.jpg
510,599993,A man sitting on top of a brown bench in front of a fountain.,000000000510.jpg
510,598166,A man sits on a bench with a man-made waterfall behind him. ,000000000510.jpg
510,598403,Older man sitting on bench in front of water fountain,000000000510.jpg
510,599030,An old man sits on a park bench beside a fountain,000000000510.jpg
510,597302,A man holding his hands together while sitting on a bench.,000000000510.jpg
623,772216,A woman poses with a large teddy bear.,000000000623.jpg
623,767053,A woman hods a stuffed pig close to her,000000000623.jpg
623,768388,A woman gives a snuggle to a  large teddy bear wearing an apron.,000000000623.jpg
623,764377,A woman has her face close to a large stuffed bear.,000000000623.jpg
623,763435,A woman on a bench is hugging a giant teddy bear.,000000000623.jpg
2093,400648,A lot of personal belongings that are in baskets and bins.,000000002093.jpg
2093,400993,A couple of basket sitting next to each other on a floor.,000000002093.jpg
2093,393385,A table displays organized items in four baskets.,000000002093.jpg
2093,394132,a desk with stuff for arts and crafts on it,000000002093.jpg
2093,512995,An organized desk with separate baskets for work-place items.,000000002093.jpg
4108,828443,a table with many different food items and a cake,000000004108.jpg
4108,279985,"A table covered in hotdogs, sodas, and cake is pictured.",000000004108.jpg
4108,278467,A table of food that includes hotdogs and desserts.,000000004108.jpg
4108,265543,A table topped with trays full of hot dogs.,000000004108.jpg
4108,275206,The table is set up with the food for people to grab what they like. ,000000004108.jpg
6177,827903,A pair of scissors lies in the open position.,000000006177.jpg
6177,737187,a black handled pair of scissors laying on something.,000000006177.jpg
6177,829139,The scissors with black handles are sitting open.,000000006177.jpg
6177,828572,The black and silver scissors are sitting open.,000000006177.jpg
6177,828254,A black handled scissors was sitting on a shiny cloth opened.,000000006177.jpg
8193,475954,a motorcycle with a bag on the back of it parked in the road ,000000008193.jpg
8193,481156,The motorcycle is parked on the side of the dirt road. ,000000008193.jpg
8193,472969,A close up shot of a motorcycle with a blue bag. ,000000008193.jpg
8193,824249,A motorcycle parked on a dirt road with a backpack on it.,000000008193.jpg
8193,471673,A motorcycle sitting on the side of the rode with a bag on it.,000000008193.jpg
8195,578026,a couple of toilets out in a field,000000008195.jpg
8195,572473,Several toilets are place outside on a lawn.,000000008195.jpg
8195,578908,A number of toilets sit outside on the grass.,000000008195.jpg
8195,577882,Toilets both open and closed sitting out on grass,000000008195.jpg
8195,567355,A lawn covered in grass with different toilets sitting on to of it.,000000008195.jpg
8204,315351,A street scene with a closeup on a van and a truck.,000000008204.jpg
8204,308142,The city streets have a high amount of traffic today. ,000000008204.jpg
8204,307947,Empty van and a truck stationary on the street.,000000008204.jpg
8204,306351,A bunch of vehicles in an Asian city.,000000008204.jpg
8204,305538,A couple of trucks on a city street.,000000008204.jpg
8218,40107,A castle displays the time on a clock tower.,000000008218.jpg
8218,35694,A large clock towers next to a forest filled with green trees.,000000008218.jpg
8218,36993,A large church clock above a church door on a tower.,000000008218.jpg
8218,36246,A clock is shown on the top of a building.,000000008218.jpg
8218,34464,A building with a black and gold clock on it.,000000008218.jpg
8223,463218,"A container of food with noodles, broccoli and onions with a beverage on a table. ",000000008223.jpg
8223,823786,A bowl of food that has some broccoli and noodles in it.,000000008223.jpg
8223,459150,"This is a dish of broccoli, noodles and potatoes with a soda.",000000008223.jpg
8223,452397,Vegetable stir fry in a bowl next to a drink.,000000008223.jpg
8223,453780,The dish is perfect to fulfill a hungry appetite.,000000008223.jpg
8228,85745,Vegetables are growing in a garden box outside.,000000008228.jpg
8228,86846,This is an image of a head of broccoli in a garden.,000000008228.jpg
8228,83072,A nice head of broccoli grows on the plant in the corner of a garden.,000000008228.jpg
8228,87962,A small garden filled with broccoli growing in a dirt patch.,000000008228.jpg
8228,87545,A rock sits on top of a plant.,000000008228.jpg
8234,113327,Modern bathroom with walk-in shower and stone wash basin,000000008234.jpg
8234,107588,A clean bathroom with a toilet and shower.,000000008234.jpg
8234,101963,A modern looking bathroom has a clear glass for a shower. ,000000008234.jpg
8234,97112,a modern bathroom with marble walls and counter,000000008234.jpg
8234,116453,A bathroom has a clear glass shower door.,000000008234.jpg
8238,481773,A person riding a red scooter on a narrow path.,000000008238.jpg
8238,475467,A man in a suit riding a motorcycle.,000000008238.jpg
8238,819161,a man in a blue suit and helmet rides a motorcycle with his bag hanging on the front,000000008238.jpg
8238,482325,and elderly man riding a motorcycle in the street wearing a helmet,000000008238.jpg
8238,478233,a man on a red motorcycle driving down the street,000000008238.jpg
8245,776277,An artistic display of pictures and figurines upon a countertop.,000000008245.jpg
8245,776592,A shoe and a vase sitting in front of two photos.,000000008245.jpg
8245,777834,"A shelf with a porcelain shoe, a vase, and a drawings of a dress and a purse.",000000008245.jpg
8245,782091,a show on a shelf near a vase with a flower ,000000008245.jpg
8245,785664,"a desk with pictures, a vase, and a ceramic shoe",000000008245.jpg
8267,174975,A European toilet with seat up and a cleaning brush on the floor,000000008267.jpg
8267,171477,A porcelain toilet in a very small bathroom,000000008267.jpg
8267,172176,A white toilet surrounded by white tile in a small stall.,000000008267.jpg
8267,169461,The toilet in the small stall has the lit up.,000000008267.jpg
8267,167259,A small white toilet sitting in a bathroom.,000000008267.jpg
8284,44187,a man is talking  on stage about cell phones. ,000000008284.jpg
8284,44649,A man in a white shirt giving a lecture with a picture of cell phones behind him. ,000000008284.jpg
8284,47688,A man holding a remote while standing in front of a projection screen.,000000008284.jpg
8284,42525,A man giving a speech showing a picture of electronics.,000000008284.jpg
8284,51651,A man giving a presentation that involves cellphones.,000000008284.jpg
8285,736814,People at a celebration are twirling umbrellas with streamers attached to them.,000000008285.jpg
8285,721361,A crowd of people walking next to each other.,000000008285.jpg
8285,734348,A woman holds an umbrella shaped like a jellyfish above the crowd. ,000000008285.jpg
8285,737279,A crowd gathered with two people holding up umbrellas.,000000008285.jpg
8285,728996,a number of people near one another with an open umbrella,000000008285.jpg
8290,535529,A zebra stands alone in a field of dead grass.,000000008290.jpg
8290,536276,A zebra walking around in a grassy area in a field. ,000000008290.jpg
8290,533324,A zebra standing on a lush green and dry grass field.,000000008290.jpg
8290,537950,A lone zebra walks through a verdant area. ,000000008290.jpg
8290,536915,A zebra that is standing in the grass.,000000008290.jpg
8292,86415,"A skinny kitchen with a visible fridge, microwave and sink.",000000008292.jpg
8292,83970,a narrow kitchen with a white fridge at the end,000000008292.jpg
8292,81939,A small kitchen with an even smaller fridge.,000000008292.jpg
8292,76008,A narrow kitchen with a refrigerator at the end of it.,000000008292.jpg
8292,82545,A long narrow kitchen with small stove and refrigerator,000000008292.jpg
8294,8781,A group of tennis players are gathered up around the tennis net.,000000008294.jpg
8294,818838,A group of people posing together on a tennis court.,000000008294.jpg
